ID_Pedido,Data_Compra,SKU_Produto,Nome_Produto,Categoria,Preco_Unitario,Quantidade,Custo_Frete,CEP_Entrega,Status_Entrega
1001,2023-01-15,SKU-001,Smartphone X,Celulares,2500.00,1,25.50,72876001,Entregue
1002,2023-01-16,SKU-002,Laptop Pro,Notebooks,5500.00,1,45.00,72876002,Enviado
1003,2023-01-17,SKU-003,Fone de Ouvido Z,Acessorios,350.00,2,15.00,72876003,Processando
1004,2023-01-18,SKU-004,Smartwatch Y,Vestiveis,,1,20.00,72876004,Entregue
1005,2023-01-19,SKU-005,Tablet 10,Tablets,1800.00,1,30.00,72876005,Cancelado
1006,2023-01-20,SKU-001,Smartphone X,Celulares,2500.00,1,25.50,72876001,Entregue
1007,2023-01-21,SKU-006,Carregador Turbo,Acessorios,120.00,-1,12.00,72876006,Entregue
1008,2023-01-22,SKU-002,Laptop Pro,Notebooks,5500.00,1,45.00,72876007,Enviado
1009,2023-01-23,SKU-007,Mouse Gamer,Perifericos,280.00,3,18.00,72876008,Entregue
1010,2023-01-24,SKU-008,Teclado Mecanico,Perifericos,450.00,1,22.00,72876009,Entregue
1011,2023-01-25,SKU-003,Headphone Z,Acessorios,350.00,1,15.00,72876010,Processando
1012,2023-01-26,SKU-009,Monitor 24,Monitores,1200.00,1,55.00,72876011,Enviado
1013,2023-01-27,SKU-010,Cadeira Gamer,Mobiliario,950.00,1,80.00,72876012,Entregue
1014,2023-01-28,SKU-004,Smartwatch Y,Vestiveis,800.00,1,20.00,,Entregue
1015,2023-01-29,SKU-001,Smartphone X,Celulares,0.00,1,25.50,72876013,Entregue
1016,2023-01-30,SKU-005,Tablet 10,Tablets,1800.00,1,30.00,72876014,Enviado
1017,31/01/2023,SKU-002,Laptop Pro,Notebooks,5500.00,1,45.00,72876015,Entregue
1018,2023-02-01,SKU-006,Carregador Turbo,Acessorios,120.00,2,-10.00,72876016,Processando
1019,2023-02-02,SKU-007,Mouse Gamer,Perifericos,280.00,1,18.00,72876017,Entregue
1020,2023-02-03,SKU-003,Fone de Ouvido Z,Acessorios,350.00,1,15.00,72876018,Cancelado
1021,2023-02-04,SKU-008,Teclado Mecanico,Perifericos,450.00,1,22.00,72876019,Entregue
1022,2023-02-05,SKU-001,Celular X,Celulares,2500.00,1,25.50,72876020,Entregue
1023,2023-02-06,SKU-009,Monitor 24,Monitores,1200.00,2,55.00,72876021,Enviado
1024,2023-02-07,SKU-010,Cadeira Gamer,,950.00,1,80.00,72876022,Entregue
1025,2023-02-08,SKU-004,Smartwatch Y,Vestiveis,800.00,1,20.00,72876-023,Entregue
1026,2023-02-09,SKU-002,Laptop Pro,Notebooks,N/A,1,45.00,72876024,Processando
1027,2023-02-10,SKU-005,Tablet 10,Tablets,1800.00,1,30.00,72876025,Entregue
1028,2023-02-11,SKU-006,Carregador Turbo,Acessorios,120.00,3,12.00,72876026,Enviado
1029,2023-02-12,SKU-007,Mouse Gamer,Perifericos,280.00,1,18.00,72876027,Entregue
1030,2023-02-13,SKU-003,Fone de Ouvido Z,Acessorios,350.00,1,15.00,72876028,Entregue
1031,2023-02-14,SKU-008,Teclado Mecanico,Perifericos,450.00,2,22.00,72876029,Processando
1032,2023-02-15,SKU-001,Smartphone X,Celulares,2500.00,1,25.50,72876030,Entregue
1033,2023-02-16,SKU-009,Monitor 24,Monitores,1200.00,1,55.00,72876031,Enviado
1034,2023-02-17,SKU-010,Cadeira Gamer,Mobiliario,950.00,1,80.00,72876032,Cancelado
1035,2023-02-18,SKU-004,Smartwatch Y,Vestiveis,800.00,1,20.00,72876033,Entregue
1036,2023-02-19,SKU-002,Laptop Pro,Notebooks,5500.00,1,45.00,72876034,Entregue
1037,2023-02-20,SKU-005,Tablet 10,Tablets,1800.00,2,30.00,72876035,Enviado
1038,2023-02-21,SKU-006,Carregador Turbo,Acessorios,120.00,1,12.00,72876036,Entregue
1039,2023-02-22,SKU-007,Mouse Gamer,Perifericos,280.00,1,18.00,72876037,Processando
1040,2023-02-23,SKU-003,Fone de Ouvido Z,Acessorios,350.00,3,15.00,72876038,Entregue
1041,2023-02-24,SKU-008,Teclado Mecanico,Perifericos,450.00,1,22.00,72876039,Enviado
1042,2023-02-25,SKU-001,Smartphone X,Celulares,2500.00,1,25.50,72876040,Entregue
1043,2023-02-26,SKU-009,Monitor 24,Monitores,1200.00,1,55.00,72876041,Cancelado
1044,2023-02-27,SKU-010,Cadeira Gamer,Mobiliario,950.00,1,80.00,72876042,Entregue
1045,2023-02-28,SKU-004,Smartwatch Y,Vestiveis,800.00,2,20.00,72876043,Enviado
1046,2023-03-01,SKU-002,Laptop Pro,Notebooks,5500.00,1,45.00,72876044,Entregue
1047,2023-03-02,SKU-005,Tablet 10,Tablets,1800.00,1,30.00,72876045,Processando
1048,2023-03-03,SKU-006,Carregador Turbo,Acessorios,120.00,1,12.00,72876046,Entregue
1049,2023-03-04,SKU-007,Mouse Gamer,Perifericos,280.00,1,18.00,72876047,Entregue
1050,2023-03-05,SKU-003,Fone de Ouvido Z,Acessorios,350.00,1,15.00,72876048,Enviado
1051,2023-03-01,SKU-002,Laptop Pro,Notebooks,5500.00,1,45.00,72876044,Entregue
1052,2023-03-02,SKU-005,Tablet 10,Tablets,1800.00,1,30.00,72876045,Processando
1053,2023-03-03,SKU-006,Carregador Turbo,Acessorios,120.00,1,12.00,72876046,Entregue
1054,2023-03-04,SKU-007,Mouse Gamer,Perifericos,280.00,1,18.00,72876047,Entregue
1055,2023-03-05,SKU-003,Fone de Ouvido Z,Acessorios,350.00,1,15.00,72876048,Enviado
1056,2023-03-06,SKU-011,Webcam HD,Perifericos,250.00,2,17.00,72876049,Entregue
1057,2023-03-07,SKU-012,SSD 1TB,Armazenamento,600.00,1,20.00,72876050,Enviado
1058,2023-03-08,SKU-013,Memoria RAM 16GB,Componentes,400.00,2,15.00,72876051,Processando
1059,2023-03-09,SKU-014,Placa de Video,Componentes,3500.00,1,40.00,72876052,Entregue
1060,2023-03-10,SKU-015,Fonte 750W,Componentes,550.00,1,25.00,72876053,Cancelado
1061,2023-03-11,SKU-011,Webcam HD,Perifericos,250.00,1,17.00,72876054,Entregue
1062,2023-03-12,SKU-012,SSD 1TB,Armazenamento,,1,20.00,72876055,Enviado
1063,2023-03-13,SKU-013,Memoria RAM 16GB,Componentes,400.00,1,15.00,72876056,Entregue
1064,2023-03-14,SKU-014,Placa de Video,Componentes,3500.00,1,40.00,72876057,Processando
1065,2023-03-15,SKU-015,Fonte 750W,Componentes,550.00,1,25.00,72876058,Entregue
1066,2023-03-16,SKU-001,Smartphone X,Celulares,2500.00,1,25.50,72876059,Enviado
1067,2023-03-17,SKU-002,Laptop Pro,Notebooks,5500.00,1,45.00,72876060,Entregue
1068,2023-03-18,SKU-003,Fone de Ouvido Z,Acessorios,350.00,2,15.00,72876061,Cancelado
1069,2023-03-19,SKU-004,Smartwatch Y,Vestiveis,800.00,1,20.00,72876062,Entregue
1070,2023-03-20,SKU-005,Tablet 10,Tablets,1800.00,1,30.00,72876063,Processando
1071,2023-03-21,SKU-006,Carregador Turbo,Acessorios,120.00,1,12.00,72876064,Entregue
1072,2023-03-22,SKU-007,Mouse Gamer,Perifericos,280.00,1,18.00,72876065,Enviado
1073,2023-03-23,SKU-008,Teclado Mecanico,Perifericos,450.00,1,22.00,72876066,Entregue
1074,2023-03-24,SKU-009,Monitor 24,Monitores,1200.00,1,55.00,72876067,Processando
1075,2023-03-25,SKU-010,Cadeira Gamer,Mobiliario,950.00,1,80.00,72876068,Entregue
1076,2023-03-26,SKU-011,Webcam HD,Perifericos,250.00,1,17.00,72876069,Cancelado
1077,2023-03-27,SKU-012,SSD 1TB,Armazenamento,600.00,1,20.00,72876070,Entregue
1078,2023-03-28,SKU-013,Memoria RAM 16GB,Componentes,400.00,1,15.00,72876071,Enviado
1079,2023-03-29,SKU-014,Placa de Video,Componentes,3500.00,1,40.00,72876072,Entregue
1080,2023-03-30,SKU-015,Fonte 750W,Componentes,550.00,1,25.00,72876073,Processando
1081,2023-03-31,SKU-001,Smartphone X,Celulares,2500.00,1,25.50,72876074,Entregue
1082,2023-04-01,SKU-002,Laptop Pro,Notebooks,5500.00,1,45.00,72876075,Enviado
1083,2023-04-02,SKU-003,Fone de Ouvido Z,Acessorios,350.00,1,15.00,72876076,Entregue
1084,2023-04-03,SKU-004,Smartwatch Y,Vestiveis,800.00,1,20.00,72876077,Cancelado
1085,2023-04-04,SKU-005,Tablet 10,Tablets,1800.00,1,30.00,72876078,Entregue
1086,2023-04-05,SKU-006,Carregador Turbo,Acessorios,120.00,2,12.00,72876079,Processando
1087,2023-04-06,SKU-007,Mouse Gamer,Perifericos,280.00,1,18.00,72876080,Entregue
1088,2023-04-07,SKU-008,Teclado Mecanico,Perifericos,450.00,1,22.00,72876081,Enviado
1089,2023-04-08,SKU-009,Monitor 24,Monitores,1200.00,1,55.00,72876082,Entregue
1090,2023-04-09,SKU-010,Cadeira Gamer,Mobiliario,950.00,1,80.00,72876083,Processando
1091,2023-04-10,SKU-011,Webcam HD,Perifericos,250.00,1,17.00,72876084,Entregue
1092,2023-04-11,SKU-012,SSD 1TB,Armazenamento,600.00,1,20.00,72876085,Cancelado
1093,2023-04-12,SKU-013,Memoria RAM 16GB,Componentes,400.00,2,15.00,72876086,Entregue
1094,2023-04-13,SKU-014,Placa de Video,Componentes,3500.00,1,40.00,72876087,Enviado
1095,2023-04-14,SKU-015,Fonte 750W,Componentes,550.00,1,25.00,72876088,Entregue
1096,2023-04-15,SKU-001,Smartphone X,Celulares,2500.00,1,25.50,72876089,Processando
1097,2023-04-16,SKU-002,Laptop Pro,Notebooks,5500.00,1,45.00,72876090,Entregue
1098,2023-04-17,SKU-003,Fone de Ouvido Z,Acessorios,350.00,1,15.00,72876091,Enviado
1099,2023-04-18,SKU-004,Smartwatch Y,Vestiveis,800.00,1,20.00,72876092,Entregue
1100,2023-04-19,SKU-005,Tablet 10,Tablets,1800.00,1,30.00,72876093,Cancelado
1101,2023-04-20,SKU-006,Carregador Turbo,Acessorios,120.00,1,12.00,72876094,Entregue
1102,2023-04-21,SKU-007,Mouse Gamer,Perifericos,280.00,1,18.00,72876095,Processando
1103,2023-04-22,SKU-008,Teclado Mecanico,Perifericos,450.00,1,22.00,72876096,Entregue
1104,2023-04-23,SKU-009,Monitor 24,Monitores,1200.00,1,55.00,72876097,Enviado
1105,2023-04-24,SKU-010,Cadeira Gamer,Mobiliario,950.00,1,80.00,72876098,Entregue
1106,2023-04-25,SKU-011,Webcam HD,Perifericos,250.00,1,17.00,72876099,Processando
1107,2023-04-26,SKU-012,SSD 1TB,Armazenamento,600.00,1,20.00,72876100,Entregue
1108,2023-04-27,SKU-013,Memoria RAM 16GB,Componentes,400.00,1,15.00,72876101,Cancelado
1109,2023-04-28,SKU-014,Placa de Video,Componentes,3500.00,1,40.00,72876102,Entregue
1110,2023-04-29,SKU-015,Fonte 750W,Componentes,550.00,1,25.00,72876103,Enviado
1111,2023-04-30,SKU-001,Smartphone X,Celulares,2500.00,1,25.50,72876104,Entregue
1112,2023-05-01,SKU-002,Laptop Pro,Notebooks,5500.00,1,45.00,72876105,Processando
1113,2023-05-02,SKU-003,Fone de Ouvido Z,Acessorios,350.00,2,15.00,72876106,Entregue
1114,2023-05-03,SKU-004,Smartwatch Y,Vestiveis,800.00,1,20.00,72876107,Enviado
1115,2023-05-04,SKU-005,Tablet 10,Tablets,1800.00,1,30.00,72876108,Entregue
1116,2023-05-05,SKU-006,Carregador Turbo,Acessorios,120.00,1,12.00,72876109,Cancelado
1117,2023-05-06,SKU-007,Mouse Gamer,Perifericos,280.00,1,18.00,72876110,Entregue
1118,2023-05-07,SKU-008,Teclado Mecanico,Perifericos,450.00,1,22.00,72876111,Processando
1119,2023-05-08,SKU-009,Monitor 24,Monitores,1200.00,1,55.00,72876112,Entregue
1120,2023-05-09,SKU-010,Cadeira Gamer,Mobiliario,950.00,1,80.00,72876113,Enviado
1121,2023-05-10,SKU-011,Webcam HD,Perifericos,250.00,1,17.00,72876114,Entregue
1122,2023-05-11,SKU-012,SSD 1TB,Armazenamento,600.00,1,20.00,72876115,Processando
1123,2023-05-12,SKU-013,Memoria RAM 16GB,Componentes,400.00,1,15.00,72876116,Entregue
1124,2023-05-13,SKU-014,Placa de Video,Componentes,3500.00,1,40.00,72876117,Cancelado
1125,2023-05-14,SKU-015,Fonte 750W,Componentes,550.00,1,25.00,72876118,Entregue
1126,2023-05-15,SKU-001,Smartphone X,Celulares,2500.00,1,25.50,72876119,Enviado
1127,2023-05-16,SKU-002,Laptop Pro,Notebooks,5500.00,1,45.00,72876120,Entregue
1128,2023-05-17,SKU-003,Fone de Ouvido Z,Acessorios,350.00,1,15.00,72876121,Processando
1129,2023-05-18,SKU-004,Smartwatch Y,Vestiveis,800.00,1,20.00,72876122,Entregue
1130,2023-05-19,SKU-005,Tablet 10,Tablets,1800.00,1,30.00,72876123,Enviado
1131,2023-05-20,SKU-006,Carregador Turbo,Acessorios,120.00,1,12.00,72876124,Entregue
1132,2023-05-21,SKU-007,Mouse Gamer,Perifericos,280.00,1,18.00,72876125,Cancelado
1133,2023-05-22,SKU-008,Teclado Mecanico,Perifericos,450.00,1,22.00,72876126,Entregue
1134,2023-05-23,SKU-009,Monitor 24,Monitores,1200.00,1,55.00,72876127,Processando
1135,2023-05-24,SKU-010,Cadeira Gamer,Mobiliario,950.00,1,80.00,72876128,Entregue
1136,2023-05-25,SKU-011,Webcam HD,Perifericos,250.00,1,17.00,72876129,Enviado
1137,2023-05-26,SKU-012,SSD 1TB,Armazenamento,600.00,1,20.00,72876130,Entregue
1138,2023-05-27,SKU-013,Memoria RAM 16GB,Componentes,400.00,1,15.00,72876131,Processando
1139,2023-05-28,SKU-014,Placa de Video,Componentes,3500.00,1,40.00,72876132,Entregue
1140,2023-05-29,SKU-015,Fonte 750W,Componentes,550.00,1,25.00,72876133,Cancelado
1141,2023-05-30,SKU-001,Smartphone X,Celulares,2500.00,1,25.50,72876134,Entregue
1142,2023-05-31,SKU-002,Laptop Pro,Notebooks,5500.00,1,45.00,72876135,Enviado
1143,2023-06-01,SKU-003,Fone de Ouvido Z,Acessorios,350.00,1,15.00,72876136,Entregue
1144,2023-06-02,SKU-004,Smartwatch Y,Vestiveis,800.00,1,20.00,72876137,Processando
1145,2023-06-03,SKU-005,Tablet 10,Tablets,1800.00,1,30.00,72876138,Entregue
1146,2023-06-04,SKU-006,Carregador Turbo,Acessorios,120.00,1,12.00,72876139,Enviado
1147,2023-06-05,SKU-007,Mouse Gamer,Perifericos,280.00,1,18.00,72876140,Entregue
1148,2023-06-06,SKU-008,Teclado Mecanico,Perifericos,450.00,1,22.00,72876141,Cancelado
1149,2023-06-07,SKU-009,Monitor 24,Monitores,1200.00,1,55.00,72876142,Entregue
1150,2026-06-08,SKU-010,Cadeira Gamer,Mobiliario,950.00,1,80.00,72876143,Processando

